L3 形态,cn→hk 提供,含敏感个人信息,涉及人数,所需机制
形态A,CBA-002 标识符哈希、CBA-005 梯度,是,5000,标准合同或个人信息保护认证
形态A,CBA-002 标识符哈希、CBA-005 梯度,是,30000,数据出境安全评估
形态A,CBA-002 标识符哈希、CBA-005 梯度,是,150000,数据出境安全评估
形态A,CBA-002 标识符哈希、CBA-005 梯度,是,1200000,数据出境安全评估
形态B,CBA-002 标识符哈希,否,5000,豁免（无需申报/订立/认证）
形态B,CBA-002 标识符哈希,否,30000,豁免（无需申报/订立/认证）
形态B,CBA-002 标识符哈希,否,150000,标准合同或个人信息保护认证
形态B,CBA-002 标识符哈希,否,1200000,数据出境安全评估
形态C,无,否,5000,不适用（该方向不提供个人信息）
形态C,无,否,30000,不适用（该方向不提供个人信息）
形态C,无,否,150000,不适用（该方向不提供个人信息）
形态C,无,否,1200000,不适用（该方向不提供个人信息）
