base_rate,relative_lift,treated_rate,n_per_arm,n_total
0.01,0.05,0.0105,637008,1274016
0.01,0.1,0.011,163092,326184
0.01,0.2,0.012,42691,85382
0.01,0.3,0.013,19824,39648
0.02,0.05,0.021,315204,630408
0.02,0.1,0.022,80679,161358
0.02,0.2,0.024,21106,42212
0.02,0.3,0.026,9795,19590
0.03,0.05,0.0315,207936,415872
0.03,0.1,0.033,53208,106416
0.03,0.2,0.036,13911,27822
0.03,0.3,0.039,6452,12904
0.05,0.05,0.0525,122121,244242
0.05,0.1,0.055,31231,62462
0.05,0.2,0.06,8155,16310
0.05,0.3,0.065,3778,7556
