match_error_rate,seed,n_true_overlap,n_matched,true_positive,false_positive,false_negative,precision,recall
0.0,11,11882,11882,11882,0,0,1.0,1.0
0.0,22,11970,11970,11970,0,0,1.0,1.0
0.0,33,12122,12122,12122,0,0,1.0,1.0
0.0,44,12057,12057,12057,0,0,1.0,1.0
0.0,55,11993,11993,11993,0,0,1.0,1.0
0.01,11,11882,11746,11746,0,136,1.0,0.9885541154687763
0.01,22,11970,11838,11838,0,132,1.0,0.9889724310776943
0.01,33,12122,11999,11999,0,123,1.0,0.9898531595446296
0.01,44,12057,11929,11929,0,128,1.0,0.9893837604710957
0.01,55,11993,11857,11857,0,136,1.0,0.9886600516968231
0.03,11,11882,11481,11481,0,401,1.0,0.9662514728160242
0.03,22,11970,11595,11595,0,375,1.0,0.968671679197995
0.03,33,12122,11751,11751,0,371,1.0,0.9693944893581917
0.03,44,12057,11696,11696,0,361,1.0,0.9700588869536368
0.03,55,11993,11618,11618,0,375,1.0,0.9687317601934462
0.05,11,11882,11259,11259,0,623,1.0,0.947567749537115
0.05,22,11970,11338,11338,0,632,1.0,0.9472013366750209
0.05,33,12122,11518,11518,0,604,1.0,0.9501732387394819
0.05,44,12057,11466,11466,0,591,1.0,0.9509828315501369
0.05,55,11993,11377,11377,0,616,1.0,0.9486367047444343
0.1,11,11882,10628,10628,0,1254,1.0,0.8944622117488639
0.1,22,11970,10739,10739,0,1231,1.0,0.8971595655806182
0.1,33,12122,10899,10899,0,1223,1.0,0.8991090579112357
0.1,44,12057,10862,10862,0,1195,1.0,0.9008874512731193
0.1,55,11993,10821,10821,0,1172,1.0,0.9022763278579171
