valid_auc,test_auc,point,level,seed,n_points,scenario
0.6385159010600707,0.6668323863636364,{'c_reg': 1.0},L0_LR,11,5,S1_基准
0.6825309187279153,0.6607244318181817,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,11,60,S1_基准
0.6169390459363957,0.6643288352272727,{'c_reg': 0.01},L2_LR,11,5,S1_基准
0.6513250883392225,0.6796164772727272,{'c_reg': 0.1},L4_LR,11,5,S1_基准
0.6514134275618375,0.6782137784090909,"{'flr_l2': 1e-05, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,11,27,S1_基准
0.6403268551236749,0.6085404829545454,"{'gbdt_lr': 0.05, 'max_depth': 3, 'n_rounds': 30, 'reg_lambda': 1.0}",L3b_纵向GBDT,11,81,S1_基准
0.6691033568904593,0.6898259943181818,"{'dim_embed': 4, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,11,54,S1_基准
0.7633815252179671,0.741610385974735,{'c_reg': 0.1},L0_LR,22,5,S1_基准
0.7754111025273148,0.7456870910172516,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 256}",L1_LR,22,60,S1_基准
0.7644299746164882,0.7433075550267697,{'c_reg': 0.01},L2_LR,22,5,S1_基准
0.8252216458816172,0.8522938027084719,{'c_reg': 0.1},L4_LR,22,5,S1_基准
0.8252400397307141,0.8538509990551841,"{'flr_l2': 0.01, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,22,27,S1_基准
0.7965088474414156,0.8044581306645204,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 30, 'reg_lambda': 0.1}",L3b_纵向GBDT,22,81,S1_基准
0.8219475407423757,0.8450152220317038,"{'dim_embed': 4, 'dim_hidden': 32, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,22,54,S1_基准
0.6692242974928487,0.6835062911012278,{'c_reg': 100.0},L0_LR,33,5,S1_基准
0.6833585731112233,0.6683582316493709,"{'c_reg': 100.0, 'k_anonymity': 20, 'n_segments': 256}",L1_LR,33,60,S1_基准
0.6924953727073868,0.6968107347854184,{'c_reg': 100.0},L2_LR,33,5,S1_基准
0.782735991923271,0.7929448435777549,{'c_reg': 0.01},L4_LR,33,5,S1_基准
0.7823321554770316,0.7908351389364048,"{'flr_l2': 0.01, 'flr_lr': 0.5, 'flr_rounds': 200}",L3a_联邦LR,33,27,S1_基准
0.7741544674406865,0.7538487854943551,"{'gbdt_lr': 0.05, 'max_depth': 3, 'n_rounds': 120, 'reg_lambda': 0.1}",L3b_纵向GBDT,33,81,S1_基准
0.776123170116103,0.7428441099327175,"{'dim_embed': 4, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.01}",L3c_SplitNN,33,54,S1_基准
0.7239943542695837,0.6984889556885585,{'c_reg': 100.0},L0_LR,44,5,S1_基准
0.7564749470712773,0.715142650097963,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,44,60,S1_基准
0.7325864502470008,0.7010789339488447,{'c_reg': 100.0},L2_LR,44,5,S1_基准
0.8299047282992237,0.809052846292171,{'c_reg': 0.01},L4_LR,44,5,S1_基准
0.8316160903316866,0.8103545452105531,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 200}",L3a_联邦LR,44,27,S1_基准
0.8385673959068455,0.7917550122118145,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 0.1}",L3b_纵向GBDT,44,81,S1_基准
0.821471418489767,0.7987466115569394,"{'dim_embed': 2, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.01}",L3c_SplitNN,44,54,S1_基准
0.7346041796473738,0.7388444554241422,{'c_reg': 0.01},L0_LR,55,5,S1_基准
0.7427209807520672,0.7379952444183676,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,55,60,S1_基准
0.7488843608440126,0.7479387332859834,{'c_reg': 10.0},L2_LR,55,5,S1_基准
0.8229964804742098,0.7735077046598524,{'c_reg': 10.0},L4_LR,55,5,S1_基准
0.8231311991647441,0.7735385850600625,"{'flr_l2': 1e-05, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,55,27,S1_基准
0.8017782867150531,0.7494827532964827,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 1.0}",L3b_纵向GBDT,55,81,S1_基准
0.8313827189599717,0.7488342648920729,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.003}",L3c_SplitNN,55,54,S1_基准
0.6395782435386396,0.6437642461738847,{'c_reg': 0.01},L0_LR,11,5,S3_高互补
0.7014272855857014,0.704062673587833,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,11,60,S3_高互补
0.593009300930093,0.6698910107839945,{'c_reg': 0.01},L2_LR,11,5,S3_高互补
0.8665723715228666,0.8328768172850385,{'c_reg': 10.0},L4_LR,11,5,S3_高互补
0.8665509408083666,0.8330108989216005,"{'flr_l2': 1e-05, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,11,27,S3_高互补
0.8311045390253311,0.7895780259352194,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 30, 'reg_lambda': 10.0}",L3b_纵向GBDT,11,81,S3_高互补
0.8653722515108654,0.8067308981554199,"{'dim_embed': 4, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,11,54,S3_高互补
0.7230691056910569,0.7714770619729152,{'c_reg': 10.0},L0_LR,22,5,S3_高互补
0.7386283992150267,0.7831822794555062,"{'c_reg': 0.1, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,22,60,S3_高互补
0.731374404261284,0.7879063582601393,{'c_reg': 1.0},L2_LR,22,5,S3_高互补
0.9335751331651247,0.9330930468558631,{'c_reg': 0.01},L4_LR,22,5,S3_高互补
0.9338379590692458,0.933425482031004,"{'flr_l2': 0.01, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,22,27,S3_高互补
0.9106216708718811,0.9057283829653217,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 1.0}",L3b_纵向GBDT,22,81,S3_高互补
0.9176303616484441,0.9381670574238024,"{'dim_embed': 2, 'dim_hidden': 16, 'nn_epochs': 8, 'nn_lr': 0.01}",L3c_SplitNN,22,54,S3_高互补
0.684456598447424,0.62277545775779,{'c_reg': 10.0},L0_LR,33,5,S3_高互补
0.7311573747353564,0.6201895277867009,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 256}",L1_LR,33,60,S3_高互补
0.7195306986591391,0.6571635078702216,{'c_reg': 100.0},L2_LR,33,5,S3_高互补
0.9000352858151024,0.9050433665274654,{'c_reg': 0.01},L4_LR,33,5,S3_高互补
0.8996824276640789,0.9036620623193061,"{'flr_l2': 0.01, 'flr_lr': 0.5, 'flr_rounds': 200}",L3a_联邦LR,33,27,S3_高互补
0.9198306280875088,0.8835207195631224,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 60, 'reg_lambda': 1.0}",L3b_纵向GBDT,33,81,S3_高互补
0.8980239943542695,0.8824445872149053,"{'dim_embed': 8, 'dim_hidden': 16, 'nn_epochs': 8, 'nn_lr': 0.01}",L3c_SplitNN,33,54,S3_高互补
0.6997144022847817,0.6859248692344271,{'c_reg': 0.01},L0_LR,44,5,S3_高互补
0.7208560513334075,0.7020296819080512,"{'c_reg': 0.1, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,44,60,S3_高互补
0.6981751418715924,0.685224115924619,{'c_reg': 0.01},L2_LR,44,5,S3_高互补
0.952765105151886,0.9143704482318492,{'c_reg': 0.1},L4_LR,44,5,S3_高互补
0.9538592782166834,0.9148584728583227,"{'flr_l2': 1e-05, 'flr_lr': 0.1, 'flr_rounds': 800}",L3a_联邦LR,44,27,S3_高互补
0.9358703312191684,0.8868909077258053,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 60, 'reg_lambda': 1.0}",L3b_纵向GBDT,44,81,S3_高互补
0.948926226772004,0.9138323697975324,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,44,54,S3_高互补
0.6673560421735605,0.7589350180505414,{'c_reg': 0.01},L0_LR,55,5,S3_高互补
0.6955528521221951,0.7598736462093862,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 64}",L1_LR,55,60,S3_高互补
0.723492835901595,0.7815162454873646,{'c_reg': 100.0},L2_LR,55,5,S3_高互补
0.9039605298729386,0.8862635379061372,{'c_reg': 0.1},L4_LR,55,5,S3_高互补
0.9042984590429847,0.8812996389891696,"{'flr_l2': 1e-05, 'flr_lr': 0.1, 'flr_rounds': 200}",L3a_联邦LR,55,27,S3_高互补
0.8783860502838605,0.8731227436823104,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 10.0}",L3b_纵向GBDT,55,81,S3_高互补
0.8966747769667478,0.8754332129963899,"{'dim_embed': 4, 'dim_hidden': 16, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,55,54,S3_高互补
0.6136904761904762,0.6331938633193863,{'c_reg': 0.01},L0_LR,11,5,S8_稀疏正样本
0.6403769841269842,0.5689878461844988,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 16}",L1_LR,11,60,S8_稀疏正样本
0.6018849206349206,0.6542637975692369,{'c_reg': 0.01},L2_LR,11,5,S8_稀疏正样本
0.7374999999999999,0.7093046423590356,{'c_reg': 0.01},L4_LR,11,5,S8_稀疏正样本
0.7409722222222221,0.659593544530783,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 200}",L3a_联邦LR,11,27,S8_稀疏正样本
0.7728174603174603,0.5932954771866905,"{'gbdt_lr': 0.3, 'max_depth': 4, 'n_rounds': 30, 'reg_lambda': 10.0}",L3b_纵向GBDT,11,81,S8_稀疏正样本
0.7632936507936507,0.6717473600318788,"{'dim_embed': 4, 'dim_hidden': 8, 'nn_epochs': 8, 'nn_lr': 0.01}",L3c_SplitNN,11,54,S8_稀疏正样本
0.7826935081148565,0.7998838463453082,{'c_reg': 1.0},L0_LR,22,5,S8_稀疏正样本
0.8461298377028713,0.8269725379573549,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,22,60,S8_稀疏正样本
0.7812890137328339,0.8020824690948312,{'c_reg': 0.01},L2_LR,22,5,S8_稀疏正样本
0.9470193508114856,0.8989463204181533,{'c_reg': 0.1},L4_LR,22,5,S8_稀疏正样本
0.946629213483146,0.897494399734506,"{'flr_l2': 1e-05, 'flr_lr': 0.5, 'flr_rounds': 400}",L3a_联邦LR,22,27,S8_稀疏正样本
