scenario,split,level,auc_mean,ci_low,ci_high,n_seeds
S1_基准,oot,L0_内地单方_GBDT,0.6962579074341803,0.668065832334052,0.7244499825343085,5.0
S1_基准,oot,L0_内地单方_LR,0.7162153868478432,0.6875076025584236,0.7449231711372629,5.0
S1_基准,oot,L1_加k匿名统计_LR,0.7148223658641725,0.6844231753573037,0.7452215563710413,5.0
S1_基准,oot,L2_加粗粒度标记_LR,0.7235184752201825,0.69919666460095,0.7478402858394151,5.0
S1_基准,oot,L3a_联邦LR,0.7938026147592148,0.7581214352342515,0.8294837942841781,5.0
S1_基准,oot,L3b_纵向GBDT,0.7759886072424755,0.7399933403202236,0.8119838741647275,5.0
S1_基准,oot,L3c_SplitNN_形态A双向,0.7743400192571552,0.7325575877701198,0.8161224507441907,5.0
S1_基准,oot,L3c_SplitNN_形态B自监督,0.722669203922052,0.6652624299928802,0.7800759778512238,5.0
S1_基准,oot,L3c_SplitNN_形态B随机,0.7195453791231174,0.6872176769281351,0.7518730813180998,5.0
S1_基准,oot,L4_集中式_GBDT,0.7759886072424755,0.7399933403202236,0.8119838741647275,5.0
S1_基准,oot,L4_集中式_LR,0.7936271708411764,0.7580213920665231,0.8292329496158297,5.0
S1_基准,random,L0_内地单方_GBDT,0.67578857663136,0.6240471793379395,0.7275299739247806,5.0
S1_基准,random,L0_内地单方_LR,0.7088802470357681,0.6739999155267408,0.7437605785447955,5.0
S1_基准,random,L1_加k匿名统计_LR,0.7068272311605831,0.669727150532571,0.7439273117885952,5.0
S1_基准,random,L2_加粗粒度标记_LR,0.7156760212718929,0.6784393366964263,0.7529127058473595,5.0
S1_基准,random,L3a_联邦LR,0.7868358517562435,0.7365259937454295,0.8371457097670575,5.0
S1_基准,random,L3b_纵向GBDT,0.7639075204629631,0.711217899429183,0.8165971414967431,5.0
S1_基准,random,L3c_SplitNN_形态A双向,0.7689649935594348,0.6957777482464033,0.8421522388724664,5.0
S1_基准,random,L3c_SplitNN_形态B自监督,0.7401662629291617,0.698854774755809,0.7814777511025143,5.0
S1_基准,random,L3c_SplitNN_形态B随机,0.7266531475812513,0.6762615487131662,0.7770447464493364,5.0
S1_基准,random,L4_集中式_GBDT,0.7639075204629631,0.711217899429183,0.8165971414967431,5.0
S1_基准,random,L4_集中式_LR,0.7867339380283298,0.7362175229502322,0.8372503531064274,5.0
S2_零互补,oot,L0_内地单方_GBDT,0.6941076658837767,0.6515826244846915,0.7366327072828619,5.0
S2_零互补,oot,L0_内地单方_LR,0.721052005005237,0.6808289551806193,0.7612750548298548,5.0
S2_零互补,oot,L1_加k匿名统计_LR,0.7182038175740062,0.678710381685117,0.7576972534628954,5.0
