scenario,seed,level,oracle_test_auc,grid_size
S1_基准,11,L0_LR,0.6669566761363637,5
S1_基准,11,L1_LR,0.6719282670454545,60
S1_基准,11,L3a_联邦LR,0.6834517045454545,27
S1_基准,22,L0_LR,0.7433425482031004,5
S1_基准,22,L1_LR,0.7615215033068552,60
S1_基准,22,L3a_联邦LR,0.8539384819960107,27
S1_基准,33,L0_LR,0.6836393355380697,5
S1_基准,33,L1_LR,0.6878017257764094,60
S1_基准,33,L3a_联邦LR,0.7941232371612118,27
S1_基准,44,L0_LR,0.702246437102445,5
S1_基准,44,L1_LR,0.7154915590863953,60
S1_基准,44,L3a_联邦LR,0.8114952092111972,27
S1_基准,55,L0_LR,0.7424729024488157,5
S1_基准,55,L1_LR,0.7423493808479757,60
S1_基准,55,L3a_联邦LR,0.7735694654602724,27
S3_高互补,11,L0_LR,0.647173750646465,5
S3_高互补,11,L1_LR,0.7041009826268507,60
S3_高互补,11,L3a_联邦LR,0.8371674296550272,27
S3_高互补,22,L0_LR,0.7771634531266403,5
S3_高互补,22,L1_LR,0.7913356895405397,60
S3_高互补,22,L3a_联邦LR,0.9334254820310041,27
S3_高互补,33,L0_LR,0.6241728236427883,5
S3_高互补,33,L1_LR,0.6748474140700289,60
S3_高互补,33,L3a_联邦LR,0.9049951814969482,27
S3_高互补,44,L0_LR,0.6859248692344271,5
S3_高互补,44,L1_LR,0.7020296819080512,60
S3_高互补,44,L3a_联邦LR,0.9154966589083264,27
S3_高互补,55,L0_LR,0.7589350180505414,5
S3_高互补,55,L1_LR,0.7682490974729242,60
S3_高互补,55,L3a_联邦LR,0.8861371841155234,27
S8_稀疏正样本,11,L0_LR,0.6438533572424785,5
S8_稀疏正样本,11,L1_LR,0.672394899382347,60
S8_稀疏正样本,11,L3a_联邦LR,0.7061665670452282,27
S8_稀疏正样本,22,L0_LR,0.8029536215050195,5
S8_稀疏正样本,22,L1_LR,0.8289222600182528,60
S8_稀疏正样本,22,L3a_联邦LR,0.8990292873143615,27
S8_稀疏正样本,33,L0_LR,0.6922012980104266,5
S8_稀疏正样本,33,L1_LR,0.7082136397489095,60
S8_稀疏正样本,33,L3a_联邦LR,0.8796148526438983,27
S8_稀疏正样本,44,L0_LR,0.7759657645153828,5
S8_稀疏正样本,44,L1_LR,0.8022592335569434,60
S8_稀疏正样本,44,L3a_联邦LR,0.9203870768756265,27
S8_稀疏正样本,55,L0_LR,0.7904018912529551,5
S8_稀疏正样本,55,L1_LR,0.7952718676122932,60
S8_稀疏正样本,55,L3a_联邦LR,0.807565011820331,27
