scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,sweep_param,sweep_value,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
SWEEP_complementarity_0.0,11,random,L0_内地单方_LR,logistic,7236.0,2171.0,0.6611773741754766,0.284170657510316,3.5098471487360374,0.1746031746031746,2.0644429814936727,0.20634920634920634,2.2232462877624166,0.4444444444444444,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,11,random,L1_加k匿名统计_LR,logistic,7236.0,2171.0,0.6471717719345802,0.2507078100057227,2.5526161081716636,0.12698412698412698,2.0644429814936727,0.20634920634920634,1.7468363689561845,0.3492063492063492,384.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,11,random,L2_加粗粒度标记_LR,logistic,7236.0,2171.0,0.6606653414053792,0.2808499743983615,3.190770135214579,0.15873015873015872,1.7468363689561845,0.1746031746031746,1.7468363689561845,0.3492063492063492,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,11,random,L4_集中式_LR,logistic,7236.0,2171.0,0.7002876419384957,0.33485437185626943,3.5098471487360374,0.1746031746031746,3.017262819106137,0.30158730158730157,2.302647940896789,0.4603174603174603,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,11,random,L0_内地单方_GBDT,gbdt,7236.0,2171.0,0.6504209210565947,0.276618174151381,3.190770135214579,0.15873015873015872,2.858459512837393,0.2857142857142857,1.9850413283593007,0.3968253968253968,0.0,complementarity,0.0,60.0,0.0,0.0,,,,
SWEEP_complementarity_0.0,11,random,L4_集中式_GBDT,gbdt,7236.0,2171.0,0.6721785488388903,0.3344552874913406,3.190770135214579,0.15873015873015872,3.334869431643625,0.3333333333333333,2.2232462877624166,0.4444444444444444,1984680.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,11,random,L3a_联邦LR,federated_logistic,7236.0,2171.0,0.7002424625764284,0.33437998855456164,3.5098471487360374,0.1746031746031746,3.017262819106137,0.30158730158730157,2.2232462877624166,0.4444444444444444,4052000.0,complementarity,0.0,400.0,,,,,,
SWEEP_complementarity_0.0,11,random,L3b_纵向GBDT,vertical_gbdt,7236.0,2171.0,0.6721785488388903,0.3344552874913406,3.190770135214579,0.15873015873015872,3.334869431643625,0.3333333333333333,2.2232462877624166,0.4444444444444444,1984680.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,11,random,L3c_SplitNN_形态A双向,splitnn,7236.0,2171.0,0.6697991024366736,0.2949685250444264,3.190770135214579,0.15873015873015872,2.0644429814936727,0.20634920634920634,1.9850413283593007,0.3968253968253968,466944.0,complementarity,0.0,228.0,,,1.0,,,
SWEEP_complementarity_0.0,11,random,L3c_SplitNN_形态B自监督,splitnn,7236.0,2171.0,0.6720731303273998,0.284238426553417,3.828924162257495,0.19047619047619047,2.6996562065686485,0.2698412698412698,1.9056396752249287,0.38095238095238093,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,11,random,L3c_SplitNN_形态B随机,splitnn,7236.0,2171.0,0.6512077949459353,0.23792958043432433,3.5098471487360374,0.1746031746031746,2.858459512837393,0.2857142857142857,1.9056396752249287,0.38095238095238093,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,11,random,L0_内地单方_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.0,,,,,0.0011743818372397263,0.028132992327365727,
SWEEP_complementarity_0.0,11,random,L1_加k匿名统计_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.0,,,,,-0.000651796674766623,-0.03737682636765205,
SWEEP_complementarity_0.0,11,random,L2_加粗粒度标记_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.0,,,,,0.002833917821246031,0.036828644501278776,
SWEEP_complementarity_0.0,11,random,L4_集中式_UPLIFT,t_learner,7236.0,2171.0,,,,,,,,,,complementarity,0.0,,,,,0.0033231624069663844,0.02388316151202749,
