seed,attack,protocol,dp_sigma,eps_per_round,utility_auc,leak_auc_首轮,leak_auc_中轮,leak_auc_末轮,leak_auc_最优轮,inv_r2_mean,inv_r2_max,gradient_returned,leak_auc_梯度方向
11,A1_残差标签推断,L3a_联邦LR,0.0,inf,0.6874598741653826,1.0,1.0,1.0,1.0,,,,
11,A1_残差标签推断,L3a_联邦LR,0.01,484.4805262605389,0.6874036979969184,1.0,1.0,1.0,1.0,,,,
11,A1_残差标签推断,L3a_联邦LR,0.03,161.49350875351297,0.6873394966615306,1.0,1.0,1.0,1.0,,,,
11,A1_残差标签推断,L3a_联邦LR,0.1,48.44805262605389,0.6867376091422702,1.0,1.0,1.0,1.0,,,,
11,A1_残差标签推断,L3a_联邦LR,0.3,16.1493508753513,0.6861276964560863,0.9913171586996151,0.9860064943285396,0.9891286459388292,0.9960170017216934,,,,
11,A1_残差标签推断,L3a_联邦LR,1.0,4.844805262605389,0.6811841936312276,0.776657762811424,0.7363229820741342,0.7760326995138749,0.8058505924650597,,,,
11,A1_残差标签推断,L3a_联邦LR,3.0,1.6149350875351296,0.6579914612223934,0.6115239517925866,0.5747797245290662,0.6174137887380999,0.64878880139761,,,,
11,A1_残差标签推断,L3a_联邦LR,10.0,0.4844805262605389,0.6056914483821263,0.5458163484909864,0.5127971819931132,0.5539659079400445,0.5888618467692931,,,,
11,A2_嵌入反演,L3c_形态A_双向,0.0,,0.6228011042629688,,,,,0.4977281580559581,0.7750239464831784,1.0,1.0
11,A2_嵌入反演,L3c_形态B_自监督,0.0,,0.6758314072932717,,,,,0.6628702726440111,0.8815282006556172,0.0,0.5
11,A2_嵌入反演,L3c_形态B_随机,0.0,,0.6466679506933745,,,,,0.5426165723133566,0.8201812220569412,0.0,0.5
22,A1_残差标签推断,L3a_联邦LR,0.0,inf,0.8334671628653931,1.0,1.0,1.0,1.0,,,,
22,A1_残差标签推断,L3a_联邦LR,0.01,484.4805262605389,0.8334826047344771,1.0,1.0,1.0,1.0,,,,
22,A1_残差标签推断,L3a_联邦LR,0.03,161.49350875351297,0.8335057675381028,1.0,1.0,1.0,1.0,,,,
22,A1_残差标签推断,L3a_联邦LR,0.1,48.44805262605389,0.833490325669019,1.0,0.9999511198443656,0.9998477732295957,1.0,,,,
22,A1_残差标签推断,L3a_联邦LR,0.3,16.1493508753513,0.8337142327707346,0.9865523708970346,0.9792957626491369,0.976622716423872,0.9956678216349155,,,,
22,A1_残差标签推断,L3a_联邦LR,1.0,4.844805262605389,0.8340385120214951,0.7536523950577974,0.7355457888349345,0.7557500520224514,0.7940860597985858,,,,
22,A1_残差标签推断,L3a_联邦LR,3.0,1.6149350875351296,0.834795163606603,0.5886204204531329,0.5846736970296228,0.609609559282551,0.6516646486145269,,,,
22,A1_残差标签推断,L3a_联邦LR,10.0,0.4844805262605389,0.8302784168995815,0.5252968771166853,0.5271068394510339,0.552679540303085,0.593188620141138,,,,
22,A2_嵌入反演,L3c_形态A_双向,0.0,,0.8268657638320542,,,,,0.49796171644448317,0.7218249475357925,1.0,1.0
22,A2_嵌入反演,L3c_形态B_自监督,0.0,,0.7933646288546765,,,,,0.6396077019820755,0.9041221980420947,0.0,0.5
22,A2_嵌入反演,L3c_形态B_随机,0.0,,0.7798298306026961,,,,,0.5046586148992458,0.6702283445575258,0.0,0.5
33,A1_残差标签推断,L3a_联邦LR,0.0,inf,0.794711842450226,1.0,1.0,1.0,1.0,,,,
33,A1_残差标签推断,L3a_联邦LR,0.01,484.4805262605389,0.7949740141572722,1.0,1.0,1.0,1.0,,,,
33,A1_残差标签推断,L3a_联邦LR,0.03,161.49350875351297,0.7952670295945592,1.0,1.0,1.0,1.0,,,,
33,A1_残差标签推断,L3a_联邦LR,0.1,48.44805262605389,0.7962540289622627,1.0,1.0,0.9999953351246454,1.0,,,,
33,A1_残差标签推断,L3a_联邦LR,0.3,16.1493508753513,0.7985056212698364,0.98992736789073,0.9921886662188386,0.9823574414091656,0.9962331131512167,,,,
33,A1_残差标签推断,L3a_联邦LR,1.0,4.844805262605389,0.8048131641040668,0.7562439356620391,0.789265422077922,0.7293765860576206,0.7973554821615166,,,,
33,A1_残差标签推断,L3a_联邦LR,3.0,1.6149350875351296,0.8025307280662523,0.5903049895506791,0.6364067864606657,0.5691882650395581,0.6493413195999402,,,,
33,A1_残差标签推断,L3a_联邦LR,10.0,0.4844805262605389,0.7110096695094306,0.5264615054485744,0.5745552041349455,0.508898249738767,0.5910735277653381,,,,
33,A2_嵌入反演,L3c_形态A_双向,0.0,,0.7835849667658807,,,,,0.574392658811926,0.7829398019661389,1.0,1.0
33,A2_嵌入反演,L3c_形态B_自监督,0.0,,0.7095908579183567,,,,,0.6841266093271305,0.8415671121777675,0.0,0.5
33,A2_嵌入反演,L3c_形态B_随机,0.0,,0.7054577980660981,,,,,0.5781889059533815,0.8208863467579955,0.0,0.5
44,A1_残差标签推断,L3a_联邦LR,0.0,inf,0.814680037349228,1.0,1.0,1.0,1.0,,,,
44,A1_残差标签推断,L3a_联邦LR,0.01,484.4805262605389,0.814705619012292,1.0,1.0,1.0,1.0,,,,
44,A1_残差标签推断,L3a_联邦LR,0.03,161.49350875351297,0.8146096877758023,1.0,1.0,1.0,1.0,,,,
44,A1_残差标签推断,L3a_联邦LR,0.1,48.44805262605389,0.814699223596526,1.0,1.0,0.999995934942825,1.0,,,,
44,A1_残差标签推断,L3a_联邦LR,0.3,16.1493508753513,0.814974226474463,0.9866598373706126,0.9778955741012497,0.9809999227639137,0.9940243659527072,,,,
44,A1_残差标签推断,L3a_联邦LR,1.0,4.844805262605389,0.8152428339366344,0.7426290350773783,0.7067318701837542,0.7625437501778463,0.7950791127877214,,,,
44,A1_残差标签推断,L3a_联邦LR,3.0,1.6149350875351296,0.810471853775214,0.5733315989089387,0.5487149676760203,0.6236122911068744,0.6460148211984602,,,,
44,A1_残差标签推断,L3a_联邦LR,10.0,0.4844805262605389,0.7669702357350251,0.5078841783909691,0.5097080340434988,0.5672909239468453,0.5883682453993715,,,,
44,A2_嵌入反演,L3c_形态A_双向,0.0,,0.7947327355751397,,,,,0.5266709283497479,0.7694358619675603,1.0,1.0
44,A2_嵌入反演,L3c_形态B_自监督,0.0,,0.7535654442895332,,,,,0.6672165721047237,0.9025058404477235,0.0,0.5
44,A2_嵌入反演,L3c_形态B_随机,0.0,,0.7160627262378327,,,,,0.4638458851695531,0.7419906570339223,0.0,0.5
55,A1_残差标签推断,L3a_联邦LR,0.0,inf,0.803860341950988,1.0,1.0,1.0,1.0,,,,
55,A1_残差标签推断,L3a_联邦LR,0.01,484.4805262605389,0.8038526886164301,1.0,1.0,1.0,1.0,,,,
55,A1_残差标签推断,L3a_联邦LR,0.03,161.49350875351297,0.8037685019362937,1.0,1.0,1.0,1.0,,,,
55,A1_残差标签推断,L3a_联邦LR,0.1,48.44805262605389,0.8036001285760206,1.0,1.0,1.0,1.0,,,,
55,A1_残差标签推断,L3a_联邦LR,0.3,16.1493508753513,0.8029113284658125,0.9845346175707022,0.9839419123257088,0.981253616398093,0.9941331141732082,,,,
55,A1_残差标签推断,L3a_联邦LR,1.0,4.844805262605389,0.7993831412346359,0.757570753388533,0.7591286848856322,0.7338241393612609,0.798313798382926,,,,
55,A1_残差标签推断,L3a_联邦LR,3.0,1.6149350875351296,0.7795303913915294,0.6027735533127486,0.6126946454265685,0.577621344557609,0.6448249023252479,,,,
55,A1_残差标签推断,L3a_联邦LR,10.0,0.4844805262605389,0.6405152224824355,0.5400402476304591,0.5550076552426892,0.5179078913006744,0.5843881694496931,,,,
55,A2_嵌入反演,L3c_形态A_双向,0.0,,0.8168403973611301,,,,,0.34162814452531504,0.6991341258771103,1.0,1.0
55,A2_嵌入反演,L3c_形态B_自监督,0.0,,0.7684789762899695,,,,,0.6791160447022923,0.8429012657254468,0.0,0.5
55,A2_嵌入反演,L3c_形态B_随机,0.0,,0.7852474323062559,,,,,0.3929024440423312,0.7427334303882538,0.0,0.5
