seed,amplitude,top_k,baseline_in_topk,attacked_in_topk,target_size,list_churn
11,0.0,0.1,15,15,144,0.0
11,0.5,0.1,15,48,144,0.0456431535269709
11,1.0,0.1,15,88,144,0.10096818810511754
11,2.0,0.1,15,138,144,0.17012448132780078
11,5.0,0.1,15,144,144,0.17842323651452285
22,0.0,0.1,10,10,143,0.0
22,0.5,0.1,10,22,143,0.016759776536312887
22,1.0,0.1,10,41,143,0.04329608938547491
22,2.0,0.1,10,100,143,0.12569832402234637
22,5.0,0.1,10,143,143,0.18575418994413406
33,0.0,0.1,15,15,145,0.0
33,0.5,0.1,15,36,145,0.028846153846153855
33,1.0,0.1,15,65,145,0.06868131868131866
33,2.0,0.1,15,129,145,0.1565934065934066
33,5.0,0.1,15,145,145,0.1785714285714286
44,0.0,0.1,14,14,145,0.0
44,0.5,0.1,14,39,145,0.03434065934065933
44,1.0,0.1,14,73,145,0.08104395604395609
44,2.0,0.1,14,122,145,0.14835164835164838
44,5.0,0.1,14,145,145,0.17994505494505497
55,0.0,0.1,16,16,142,0.0
55,0.5,0.1,16,32,142,0.022471910112359605
55,1.0,0.1,16,57,142,0.057584269662921295
55,2.0,0.1,16,115,142,0.1390449438202247
55,5.0,0.1,16,142,142,0.1769662921348315
