seed,amplitude,n_repeat,feat_r2,总探针次数,合法
11,1.0,1,-1.0,36,True
11,1.0,100,-1.0,3600,True
11,1.0,10000,-1.0,360000,True
11,1.0,1000000,-1.0,36000000,True
11,1.0,100000000,0.9635250053826517,3600000000,True
11,10.0,1,-1.0,36,False
11,10.0,100,-1.0,3600,False
11,10.0,10000,-1.0,360000,False
11,10.0,1000000,0.9635250053826517,36000000,False
11,10.0,100000000,0.9996352500538265,3600000000,False
11,1000.0,1,-1.0,36,False
11,1000.0,100,0.9635250053826518,3600,False
11,1000.0,10000,0.9996352500538265,360000,False
11,1000.0,1000000,0.9999963525005383,36000000,False
11,1000.0,100000000,0.9999999635250054,3600000000,False
22,1.0,1,-1.0,36,True
22,1.0,100,-1.0,3600,True
22,1.0,10000,-1.0,360000,True
22,1.0,1000000,-1.0,36000000,True
22,1.0,100000000,0.9330966873300889,3600000000,True
22,10.0,1,-1.0,36,False
22,10.0,100,-1.0,3600,False
22,10.0,10000,-1.0,360000,False
22,10.0,1000000,0.9330966873300889,36000000,False
22,10.0,100000000,0.999330966873301,3600000000,False
22,1000.0,1,-1.0,36,False
22,1000.0,100,0.9330966873300889,3600,False
22,1000.0,10000,0.999330966873301,360000,False
22,1000.0,1000000,0.9999933096687329,36000000,False
22,1000.0,100000000,0.9999999330966873,3600000000,False
33,1.0,1,-1.0,36,True
33,1.0,100,-1.0,3600,True
33,1.0,10000,-1.0,360000,True
33,1.0,1000000,-1.0,36000000,True
33,1.0,100000000,0.954204738168743,3600000000,True
33,10.0,1,-1.0,36,False
33,10.0,100,-1.0,3600,False
33,10.0,10000,-1.0,360000,False
33,10.0,1000000,0.954204738168743,36000000,False
33,10.0,100000000,0.9995420473816874,3600000000,False
33,1000.0,1,-1.0,36,False
33,1000.0,100,0.9542047381687428,3600,False
33,1000.0,10000,0.9995420473816874,360000,False
33,1000.0,1000000,0.9999954204738168,36000000,False
33,1000.0,100000000,0.9999999542047382,3600000000,False
