seed,depth,rounds,membership_auc,loss_gap,训练AUC,测试AUC
11,3,60,0.5144032233202364,0.07763611210963559,0.9855317627101479,0.6339239856189008
11,6,60,0.5161137365333119,0.16842596588240347,1.0,0.6074168592706728
11,8,200,0.5248420010158132,0.21293813159864922,1.0,0.6218782100667694
11,10,400,0.5228895841849599,0.22000480439218012,1.0,0.6272149460708782
11,12,800,0.5261927508033519,0.22602786876437272,1.0,0.6305213148433487
22,3,60,0.5101613734952126,0.08561575467199073,0.9873945061498219,0.7175990981948455
22,6,60,0.5063486001765102,0.15813543119203216,1.0,0.7243857996571904
22,8,200,0.5023062025522623,0.19423208633922218,1.0,0.7435259963866026
22,10,400,0.5066070838611867,0.2034359360693527,1.0,0.7437807872264859
22,12,800,0.5048369801768029,0.21338927302631855,1.0,0.7316203153229668
33,3,60,0.5218668562334323,0.04874989714427544,0.9736492853410957,0.726346714371636
33,6,60,0.521208498886098,0.13631630828090086,1.0,0.723285474145243
33,8,200,0.5344225177212484,0.18772357005403453,1.0,0.6863578181145228
33,10,400,0.5420465933457692,0.19673047624529388,1.0,0.6808984778619126
33,12,800,0.5367450511620554,0.1936916227352972,1.0,0.7095445923229955
