seed,level,模型,membership_auc_lira,n_shadow
11,L0_内地单方,逻辑回归,0.5164537242538613,32
11,L1_加k匿名统计,逻辑回归,0.5160734317479613,32
11,L4_集中式/L3信息集,逻辑回归,0.5128543909040266,32
11,L3b_纵向GBDT_深3,纵向GBDT,0.5372015146917584,32
11,L3b_纵向GBDT_深6,纵向GBDT,0.5534022963005744,32
22,L0_内地单方,逻辑回归,0.5040149774606495,32
22,L1_加k匿名统计,逻辑回归,0.5029680184050608,32
22,L4_集中式/L3信息集,逻辑回归,0.5088373555489141,32
22,L3b_纵向GBDT_深3,纵向GBDT,0.5189093943016536,32
22,L3b_纵向GBDT_深6,纵向GBDT,0.541283357616059,32
33,L0_内地单方,逻辑回归,0.5109742380507107,32
33,L1_加k匿名统计,逻辑回归,0.5125083004702471,32
33,L4_集中式/L3信息集,逻辑回归,0.5091464782666961,32
33,L3b_纵向GBDT_深3,纵向GBDT,0.5269170886542924,32
33,L3b_纵向GBDT_深6,纵向GBDT,0.5412051153483035,32
