seed,重训次数,单次R2,累积R2,有效σ
11,1,-1,-1,0.14142135623730953
11,12,-1,-1,0.04082482904638631
11,60,-1,-1,0.01825741858350554
11,600,-1,-1,0.005773502691896259
11,6000,-1,-1,0.0018257418583505541
22,1,-1,-1,0.14142135623730953
22,12,-1,-1,0.04082482904638631
22,60,-1,-1,0.01825741858350554
22,600,-1,-1,0.005773502691896259
22,6000,-1,-1,0.0018257418583505541
33,1,-1,-1,0.14142135623730953
33,12,-1,-1,0.04082482904638631
33,60,-1,-1,0.01825741858350554
33,600,-1,-1,0.005773502691896259
33,6000,-1,-1,0.0018257418583505541
