seed,dp_sigma,可用性AUC,单轮攻击,跨轮平均攻击,前50轮平均
11,0.0,0.6874598741653826,1.0,1.0,1.0
11,0.3,0.6861276964560863,0.9913171586996151,1.0,1.0
11,1.0,0.6811841936312276,0.776657762811424,1.0,1.0
11,3.0,0.6579914612223934,0.6115239517925866,1.0,0.9499506279116873
11,10.0,0.6056914483821263,0.5458163484909864,0.9210189006481669,0.7017466958679359
11,30.0,0.5620505906522856,0.5268397432651408,0.6832384925055701,0.5787294915940855
22,0.0,0.8334671628653931,1.0,1.0,1.0
22,0.3,0.8337142327707346,0.9865523708970346,1.0,1.0
22,1.0,0.8340385120214951,0.7536523950577974,1.0,1.0
22,3.0,0.834795163606603,0.5886204204531329,0.9997709615564558,0.9516770781398168
22,10.0,0.8302784168995815,0.5252968771166853,0.8686883499037061,0.7035153211356396
22,30.0,0.790623697092296,0.5068802310495129,0.6105033678427232,0.5869501157063113
33,0.0,0.794711842450226,1.0,1.0,1.0
33,0.3,0.7985056212698364,0.98992736789073,1.0,1.0
33,1.0,0.8048131641040668,0.7562439356620391,1.0,0.9999953351246454
33,3.0,0.8025307280662523,0.5903049895506791,0.9999895040304523,0.9367722794446932
33,10.0,0.7110096695094306,0.5264615054485744,0.9215752817584715,0.6789539483505
33,30.0,0.631162962848727,0.5076842159277504,0.688150750111957,0.5632732030900135
44,0.0,0.814680037349228,1.0,1.0,1.0
44,0.3,0.814974226474463,0.9866598373706126,1.0,1.0
44,1.0,0.8152428339366344,0.7426290350773783,1.0,0.9999986449809417
44,3.0,0.810471853775214,0.5733315989089387,0.9999485092757829,0.9418534221683827
44,10.0,0.7669702357350251,0.5078841783909691,0.8904643243807224,0.6707981197755546
44,30.0,0.7151417863675317,0.5108882556433156,0.6647967403661532,0.5521811064272619
55,0.0,0.803860341950988,1.0,1.0,1.0
55,0.3,0.8029113284658125,0.9845346175707022,1.0,1.0
55,1.0,0.7993831412346359,0.757570753388533,1.0,1.0
55,3.0,0.7795303913915294,0.6027735533127486,0.9999846383089851,0.9426932116687405
55,10.0,0.6405152224824355,0.5400402476304591,0.9167037907532861,0.6705659759026273
55,30.0,0.4768027429551055,0.5219736188559636,0.6825903395445772,0.5485711067074264
